subset_id,active_module_count,active_modules,missing_modules,satisfied_obligations,failed_obligations,failure_classes,pass_declared_specification,certificate_role
M100001,2,TOKEN_OR_SYMBOL_SPACE;DECODING_OR_EMISSION_INTERFACE,CONTEXT_CONDITIONING_STATE;LEARNED_PARAMETERIZED_TRANSFORM;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION,O1_LINGUISTIC_ADDRESSABILITY,O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M011000,2,CONTEXT_CONDITIONING_STATE;LEARNED_PARAMETERIZED_TRANSFORM,TOKEN_OR_SYMBOL_SPACE;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION;DECODING_OR_EMISSION_INTERFACE,,O1_LINGUISTIC_ADDRESSABILITY;O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;non-linguistic vector processor or non-token text-adjacent tool;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M010100,2,CONTEXT_CONDITIONING_STATE;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE,TOKEN_OR_SYMBOL_SPACE;LEARNED_PARAMETERIZED_TRANSFORM;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION;DECODING_OR_EMISSION_INTERFACE,,O1_LINGUISTIC_ADDRESSABILITY;O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;non-linguistic vector processor or non-token text-adjacent tool;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M010010,2,CONTEXT_CONDITIONING_STATE;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION,TOKEN_OR_SYMBOL_SPACE;LEARNED_PARAMETERIZED_TRANSFORM;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE;DECODING_OR_EMISSION_INTERFACE,,O1_LINGUISTIC_ADDRESSABILITY;O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;non-linguistic vector processor or non-token text-adjacent tool;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M010001,2,CONTEXT_CONDITIONING_STATE;DECODING_OR_EMISSION_INTERFACE,TOKEN_OR_SYMBOL_SPACE;LEARNED_PARAMETERIZED_TRANSFORM;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION,,O1_LINGUISTIC_ADDRESSABILITY;O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;non-linguistic vector processor or non-token text-adjacent tool;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M001100,2,LEARNED_PARAMETERIZED_TRANSFORM;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE,TOKEN_OR_SYMBOL_SPACE;CONTEXT_CONDITIONING_STATE;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION;DECODING_OR_EMISSION_INTERFACE,,O1_LINGUISTIC_ADDRESSABILITY;O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;non-linguistic vector processor or non-token text-adjacent tool;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M001010,2,LEARNED_PARAMETERIZED_TRANSFORM;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION,TOKEN_OR_SYMBOL_SPACE;CONTEXT_CONDITIONING_STATE;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE;DECODING_OR_EMISSION_INTERFACE,O3_LEARNED_GENERALIZING_TRANSFORM,O1_LINGUISTIC_ADDRESSABILITY;O2_CONTEXT_CONDITIONABILITY;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;non-linguistic vector processor or non-token text-adjacent tool",False,PROPER_SUBSET_FAIL
M001001,2,LEARNED_PARAMETERIZED_TRANSFORM;DECODING_OR_EMISSION_INTERFACE,TOKEN_OR_SYMBOL_SPACE;CONTEXT_CONDITIONING_STATE;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION,,O1_LINGUISTIC_ADDRESSABILITY;O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;non-linguistic vector processor or non-token text-adjacent tool;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M000110,2,CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION,TOKEN_OR_SYMBOL_SPACE;CONTEXT_CONDITIONING_STATE;LEARNED_PARAMETERIZED_TRANSFORM;DECODING_OR_EMISSION_INTERFACE,,O1_LINGUISTIC_ADDRESSABILITY;O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;non-linguistic vector processor or non-token text-adjacent tool;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M000101,2,CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE;DECODING_OR_EMISSION_INTERFACE,TOKEN_OR_SYMBOL_SPACE;CONTEXT_CONDITIONING_STATE;LEARNED_PARAMETERIZED_TRANSFORM;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION,,O1_LINGUISTIC_ADDRESSABILITY;O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;non-linguistic vector processor or non-token text-adjacent tool;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M000011,2,SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION;DECODING_OR_EMISSION_INTERFACE,TOKEN_OR_SYMBOL_SPACE;CONTEXT_CONDITIONING_STATE;LEARNED_PARAMETERIZED_TRANSFORM;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE,,O1_LINGUISTIC_ADDRESSABILITY;O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;non-linguistic vector processor or non-token text-adjacent tool;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M111000,3,TOKEN_OR_SYMBOL_SPACE;CONTEXT_CONDITIONING_STATE;LEARNED_PARAMETERIZED_TRANSFORM,CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION;DECODING_OR_EMISSION_INTERFACE,O1_LINGUISTIC_ADDRESSABILITY;O2_CONTEXT_CONDITIONABILITY,O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M110100,3,TOKEN_OR_SYMBOL_SPACE;CONTEXT_CONDITIONING_STATE;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE,LEARNED_PARAMETERIZED_TRANSFORM;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION;DECODING_OR_EMISSION_INTERFACE,O1_LINGUISTIC_ADDRESSABILITY,O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M110010,3,TOKEN_OR_SYMBOL_SPACE;CONTEXT_CONDITIONING_STATE;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION,LEARNED_PARAMETERIZED_TRANSFORM;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE;DECODING_OR_EMISSION_INTERFACE,O1_LINGUISTIC_ADDRESSABILITY;O5_SEQUENCE_LEVEL_LANGUAGE_FIT,O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O6_OPERATIONAL_EMISSION_PATH,"context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M110001,3,TOKEN_OR_SYMBOL_SPACE;CONTEXT_CONDITIONING_STATE;DECODING_OR_EMISSION_INTERFACE,LEARNED_PARAMETERIZED_TRANSFORM;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION,O1_LINGUISTIC_ADDRESSABILITY,O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M101100,3,TOKEN_OR_SYMBOL_SPACE;LEARNED_PARAMETERIZED_TRANSFORM;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE,CONTEXT_CONDITIONING_STATE;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION;DECODING_OR_EMISSION_INTERFACE,O1_LINGUISTIC_ADDRESSABILITY,O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M101010,3,TOKEN_OR_SYMBOL_SPACE;LEARNED_PARAMETERIZED_TRANSFORM;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION,CONTEXT_CONDITIONING_STATE;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE;DECODING_OR_EMISSION_INTERFACE,O1_LINGUISTIC_ADDRESSABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O5_SEQUENCE_LEVEL_LANGUAGE_FIT,O2_CONTEXT_CONDITIONABILITY;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O6_OPERATIONAL_EMISSION_PATH,"context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core",False,PROPER_SUBSET_FAIL
M101001,3,TOKEN_OR_SYMBOL_SPACE;LEARNED_PARAMETERIZED_TRANSFORM;DECODING_OR_EMISSION_INTERFACE,CONTEXT_CONDITIONING_STATE;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION,O1_LINGUISTIC_ADDRESSABILITY,O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
